uf,cod_uf,cod_mun,municipio,pop
AP,16,00253,Itaubal,4949
AP,16,00279,Laranjal do Jari,45712
AP,16,00303,Macapá,456171
AP,16,00402,Mazagão,19571
AP,16,00501,Oiapoque,24263
AP,16,00154,Pedra Branca do Amapari,13988
AP,16,00535,Porto Grande,19669
AP,16,00550,Pracuúba,4531
AP,16,00600,Santana,112218
AP,16,00055,Serra do Navio,4938
AP,16,00709,Tartarugalzinho,15212
AP,16,00808,Vitória do Jari,14364
TO,17,00251,Abreulândia,2539
TO,17,00301,Aguiarnópolis,6149
TO,17,00350,Aliança do Tocantins,5605
TO,17,00400,Almas,7409
TO,17,00707,Alvorada,8536
TO,17,01002,Ananás,9848
TO,17,01051,Angico,3379
TO,17,01101,Aparecida do Rio Negro,4618
TO,17,01309,Aragominas,5910
TO,17,01903,Araguacema,6863
TO,17,02000,Araguaçu,8777
TO,17,02109,Araguaína,170183
TO,17,02158,Araguanã,5515
TO,17,02208,Araguatins,34392
TO,17,02307,Arapoema,6799
TO,17,02406,Arraias,10778
TO,17,02554,Augustinópolis,17627
TO,17,02703,Aurora do Tocantins,3682
TO,17,02901,Axixá do Tocantins,9706
TO,17,03008,Babaçulândia,10736
TO,17,03057,Bandeirantes do Tocantins,3420
TO,17,03073,Barra do Ouro,4460
TO,17,03107,Barrolândia,5601
TO,17,03206,Bernardo Sayão,4532
TO,17,03305,Bom Jesus do Tocantins,4477
TO,17,03602,Brasilândia do Tocantins,2177
TO,17,03701,Brejinho de Nazaré,5451
TO,17,03800,Buriti do Tocantins,10837
TO,17,03826,Cachoeirinha,2256
TO,17,03842,Campos Lindos,9408
TO,17,03867,Cariri do Tocantins,4178
TO,17,03883,Carmolândia,2507
TO,17,03891,Carrasco Bonito,3983
TO,17,03909,Caseara,5119
TO,17,04105,Centenário,2803
TO,17,05102,Chapada da Natividade,3363
TO,17,04600,Chapada de Areia,1397
TO,17,05508,Colinas do Tocantins,33981
TO,17,16703,Colméia,8522
TO,17,05557,Combinado,4851
TO,17,05607,Conceição do Tocantins,4209
TO,17,06001,Couto de Magalhães,5424
TO,17,06100,Cristalândia,7386
TO,17,06258,Crixás do Tocantins,1680
TO,17,06506,Darcinópolis,5833
TO,17,07009,Dianópolis,21167
TO,17,07108,Divinópolis do Tocantins,6777
TO,17,07207,Dois Irmãos do Tocantins,7302
TO,17,07306,Dueré,4722
TO,17,07405,Esperantina,10506
TO,17,07553,Fátima,3886
TO,17,07652,Figueirópolis,5386
TO,17,07702,Filadélfia,8848
TO,17,08205,Formoso do Araguaia,18742
TO,17,08254,Fortaleza do Tabocão,2556
TO,17,08304,Goianorte,5135
TO,17,09005,Goiatins,12813
TO,17,09302,Guaraí,25149
TO,17,09500,Gurupi,83707
TO,17,09807,Ipueiras,1881
TO,17,10508,Itacajá,7411
TO,17,10706,Itaguatins,6035
TO,17,10904,Itapiratins,3732
TO,17,11100,Itaporã do Tocantins,2476
TO,17,11506,Jaú do Tocantins,3761
TO,17,11803,Juarina,2245
TO,17,11902,Lagoa da Confusão,12184
TO,17,11951,Lagoa do Tocantins,4037
TO,17,12009,Lajeado,3026
TO,17,12157,Lavandeira,1814
TO,17,12405,Lizarda,3796
TO,17,12454,Luzinópolis,2945
TO,17,12504,Marianópolis do Tocantins,4896
TO,17,12702,Mateiros,2524
TO,17,12801,Maurilândia do Tocantins,3362
TO,17,13205,Miracema do Tocantins,19634
TO,17,13304,Miranorte,13298
TO,17,13601,Monte do Carmo,7535
TO,17,13700,Monte Santo do Tocantins,2231
TO,17,13957,Muricilândia,3433
TO,17,14203,Natividade,9291
TO,17,14302,Nazaré,4177
TO,17,14880,Nova Olinda,11513
TO,17,15002,Nova Rosalândia,4113
TO,17,15101,Novo Acordo,4158
TO,17,15150,Novo Alegre,2351
TO,17,15259,Novo Jardim,2650
TO,17,15507,Oliveira de Fátima,1098
TO,17,21000,Palmas,272726
TO,17,15705,Palmeirante,5651
TO,17,13809,Palmeiras do Tocantins,6362
TO,17,15754,Palmeirópolis,7645
TO,17,16109,Paraíso do Tocantins,49076
TO,17,16208,Paranã,10573
TO,17,16307,Pau D'Arco,4814
TO,17,16505,Pedro Afonso,12900
TO,17,16604,Peixe,11340
TO,17,16653,Pequizeiro,5381
TO,17,17008,Pindorama do Tocantins,4547
TO,17,17206,Piraquê,3031
TO,17,17503,Pium,7357
TO,17,17800,Ponte Alta do Bom Jesus,4649
TO,17,17909,Ponte Alta do Tocantins,7793
TO,17,18006,Porto Alegre do Tocantins,3039
TO,17,18204,Porto Nacional,52182
TO,17,18303,Praia Norte,8229
TO,17,18402,Presidente Kennedy,3744
